**Buildings_Street|**Buildings_HouseNum|**Buildings_HouseNumPart|**Table_Documents_BildNum1|**Buildings_LiteraNum|Window~Key|**Buildings_Postal_Iindex|**Table_Documents_AppartNum1|**Buildings_Corn_street|**Buildings_Corn_House|**Buildings_ConstructionNum
"Большая Филёвская улица"|"34"|"А"|||3881|||||
"Пятницкая улица"|"26"||"1"||3882|||||
"Новый Арбат улица"|||||3883|||||
"Пятницкая улица"|"36"||||3884|||||
"Гончарная улица"|"3"||"3"||3885|||||
"Старосадский переулок"|"7"|"/10"|"10"||3886|||||
"Пречистенка улица"|"1"|"/3"|||3887|||||
"Последний переулок"|"28"||||3888|||||
"Мира проспект"|"119"||"18"||3889|||||
"Архангельский переулок"|"10"||"2"||3890|||||
"Ленинский проспект"|"19"||"1"||3891|||||
"Воздвиженка улица"|"7"|"6"|"1"||3892|||||
"Столешников переулок"|"6"||"1"||3893|||||
"Арбитраж без адреса"|||||3894|||||
"Софийская набережная"|"18 (20)"|"8"|"1"||3895|||||
"Дубининская улица"|"51"||"4"||3896|||||
"Старосадский переулок"|"7"|"10"|||3897|||||
"1-й Котельнический переулок"|"3"||"1"||3898|||||
"Старые Кузьминки"|"10"||||3899|||||
"Малая Дмитровка улица"|"6"||"1"||3900|||||
"Пушкинская набережная"|"8"|"А"|"3"||3901|||||
"Новая Басманная улица"|"12"||"2А"||3902|||||
"Бауманская улица"|"36"||"1"||3903|||||
"Яковоапостольский переулок"|"8"||"1"||3904|||||
"Пятницкая улица"|"19"||||3905|||||
"Преображенский Вал улица"|"17-25"||||3906|||||
"Столешников переулок"|"6"||"5"||3907|||||
"Тверская улица"|"23"||"1"||3908|||||
"Малая Семёновская улица"|"28"||||3909|||||
"Лужники улица"|"24"||||3910|||||
"Малая Никитская улица"|"25"||||3911|||||
"Средний Кисловский переулок"|"5"|"/6"|"3"||3912|||||
"Лефортовский Вал улица"|"7"||||3913|||||
"Рогожский Вал улица"|"12"||||3914|||||
"Малая Ордынка улица"|"24"|"/41"|"2"||3915|||||
"Мясницкая улица"|"7"||"2"||3916|||||
"Контракт"|||||3917|||||
"Воронцово Поле улица"|"12"||"3"||3918|||||
"Волхонка улица"|"18"|"/2/1"|||3919|||||
"Малая Дмитровка улица"|"12"||"2"||3920|||||
"5-й Лучевой просек"|"14,16"||"1,2,3"||3921|||||
"Сталеваров улица"|"6"||"9"||3922|||||
"Золоторожская набережная"|"36"|"А"|||3923|||||
"Тверской бульвар"|"26"||"1,2,3"||3924|||||
"Арбитраж без указания адреса"|||||3925|||||
"Кузнецкий Мост улица"|"18"|"/7"|||3926|||||
"Лесная улица"|"57"||"5"||3927|||||
"Ягодный переулок"|"17"||||3928|||||
"Адрес не указан"|||||3929|||||
"Арбитраж адрес не указан"|||||3930|||||
"Мосфильмовская улица"|"18"|"А"|"4"||3931|||||
"Большая Садовая улица"|"14"||"1"||3932|||||
"Бауманская улица"|"42"||||3933|||||
"Большая Серпуховская улица"|"44"||||3934|||||
"Малая Дмитровка улица"|"18"||"1"||3935|||||
"Малая Дмитровка улица"|"18"||"1"||3936|||||
"Садовая-Спасская улица"|"19"||"2"||3937|||||
"Дольская улица"|"1"||"36"||3938|||||
"Академика Королёва улица"|"13"||"1,3"||3939|||||
"Старые Кузьминки"|"4,8"||||3940|||||
"2-й Верхний Михайловский проезд"|"8"||"2"||3941|||||
"Академика Королёва улица"|"13"||||3942|||||
"Мантулинская улица"|"5"||"5"||3943|||||
"Адреса нет"|||||3944|||||
"Всеволожский переулок"|"2"||"2"||3945|||||
"Тверская улица"|"9"|"А"|||3946|||||
"Кривоколенный переулок"|"9"||"2"||3947|||||
"Хитровский переулок"|"3"|"1"|"3"||3948|||||
"Без адреса арбитраж"|||||3949|||||
"Подъёмная улица"|"7"||"2,3,4"||3950|||||
"Кутузовский переулок"|||||3951|||||
"Кутузовский проспект"|"36"|"А"|||3952|||||
"2-й Красносельский переулок"|"7"||||3953|||||
"Правды улица"|"21"||"1,2"||3954|||||
"Красина улица"|"3"||"1,3,4,6,7"||3955|||||
"Чоботовский проезд"|"4"||"1"||3956|||||
"Мира проспект"|"184"||"1"||3957|||||
"Адреса нет арбитраж"|||||3958|||||
"Нет адреса арбитр"|||||3959|||||
"Без адреса арбитраж"|||||3960|||||
"Адреса нет арбитраж"|||||3961|||||
"Тверская улица"|"12"||"2"||3962|||||
"Академика Королёва улица"|"13"||"1"||3963|||||
"Большой Лёвшинский переулок"|"15"||"3"||3964|||||
"Большая Никитская улица"|"5"|"/7"|"2"||3965|||||
"Красная площадь"|"5"||"1,2,3,4"||3966|||||
"Ростовская набережная"|"9"||||3967|||||
"Смоленская площадь"|"13/"|"21"|||3968|||||
"Не указан адрес арбитраж"|||||3969|||||
"Сретенский бульвар"|"6/"|"1"|"1"||3970|||||
"Дружбы улица"|"6"||||3971|||||
"Гончарная улица"|"16"||"1"||3972|||||
"Покровка улица"|"18"|"/18"|"1"||3973|||||
"Староконюшенный переулок"|"17"||"1"||3974|||||
"Ростовская набережная"|"1"||||3975|||||
"Тверская улица"|"20"||"1"||3976|||||
"Щетининский переулок"|"4"||"3"||3977|||||
"Нет адреса арбитраж"|||||3978|||||
"Большая Никитская улица"|"31"||||3979|||||
"Пречистенские Ворота"|"1"||"4,5"||3980|||||
"Пречистенские Ворота"|"1"||"1,2,6"||3981|||||
"Пречистенские Ворота"|"1"||"3"||3982|||||
"Солженицына"|"2а"||"2,3"||3983|||||
"Милютинский переулок"|"8"||"2"||3984|||||
"Шумкина улица"|"16"||"8"||3985|||||
"Плющиха улица"|"64"||"1"||3986|||||
"Покровка улица"|"6"||||3987|||||
"без адреса (Останскинский рай.суд)"|||||3988|||||
"Серафимовича улица"|"2"||||3989|||||
"Павловская улица"|"25"||||3990|||||
"Гороховский переулок"|"4"||"1А, 2, 3, 4, 12"||3991|||||
"Петроверигский переулок"|"6-8-10"||"1"||3992|||||
"Большая Никитская улица"|"31"||||3993|||||
"Образцова улица"|"23"|"/1"|"2"||3994|||||
"Милютинский переулок"|"6"||"1"||3995|||||
"Большой Афанасьевский переулок"|"20"||||3996|||||
"Шаболовка улица"|"65"||"2 кв.26"||3997|||||
"Гастелло улица"|"5"||"1"||3998|||||
"Большой Николопесковский переулок"|"7"||"1"||3999|||||
"Кудринская площадь"|"1"||"1"||4000|||||
"Хохловский переулок"|"3"||"1"||4001|||||
"Крымский Вал улица"|"9"||"18,20,21,22"||4002|||||
"Без адреса арбитражный"|||||4003|||||
"Москворецкая набережная"|"1"||||4004|||||
"Преображенский Вал улица"|"17"||"90,91"||4005|||||
"Знаменка улица"|"11/"|"1"|||4006|||||
"Подкопаевский переулок"|"6"||"3"||4007|||||
"Гончарная улица"|"12"||"1"||4008|||||
"4,14"|"7/"|"10"|||4009|||||
"Арбитраж без адреса"|||||4010|||||
"Череповецкая улица"|"3Б"||||4011|||||
"Школьная улица"|"17"||||4012|||||
"Малая Дмитровка улица"|"3/"|"10"|"1"||4013|||||
"Вознесенский переулок"|"6/"|"3"|"1"||4014|||||
"Косыгина улица"|"17"||||4015|||||
"Пресненский суд без адреса"|||||4016|||||
"Малая Дмитровка улица"|"3/"|"10"|"1"||4017|||||
"Чистопрудный бульвар"|"12"||"6"||4018|||||
"Арбитраж без адреса"|||||4019|||||
"Тверская улица"|"15"||"1"||4020|||||
"Большая Дмитровка улица"|"32"||"1"||4021|||||
"Большой Толмачёвский переулок"|"5"||"7"||4022|||||
"Поперечный просек"|"11"||||4023|||||
"Нагатинский районный суд"|||||4024|||||
"Арбитраж без адреса"|||||4025|||||
"Погорельский переулок"|"5"||||4026|||||
"Руставели улица"|"12А"||"1"||4027|||||
"Минаевский проезд"|"7"||||4028|||||
"Сивцев Вражек переулок"|"4"||||4029|||||
"Рюмин переулок"|"2/"|"10"|"1"||4030|||||
"Комсомольская площадь"|"2"||||4031|||||
"Большая Дмитровка улица"|"7/"|"5"|"4"||4032|||||
"Черемушкинский районный без адреса"|||||4033|||||
"Колпачный переулок"|"3"||"2"||4034|||||
"Озерковская набережная"|"22"|"/24"|||4035|||||
"Шелапутинский переулок"|"3"||"1-5"||4036|||||
"Малая Бронная улица"|"32"||"кв.21"||4037|||||
"Новинский бульвар"|"11"||||4038|||||
"Комсомольская площадь"|"3"|"/30"|"1"||4039|||||
"Солженицына"|"30"||"1"||4040|||||
"Петроверигский переулок"|"4"||"3"||4041|||||
"Арбитраж адреса нет"|||||4042|||||
"Адреса нет арбитраж"|||||4043|||||
"Шаболовка улица"|"4"||"1"||4044|||||
"Староконюшенный переулок"|"36"||||4045|||||
"Ходынская улица"|"2"||"1"||4046|||||
"Садовая-Кудринская улица"|"11"||||4047|||||
"Садовая-Кудринская улица"|"7"||"13"||4048|||||
"Ленинский проспект"|"14,20"||||4049|||||
"Арбитраж без адреса"|||||4050|||||
"Мясницкая улица"|"8/2"||"1"||4051|||||
"Волоколамское шоссе"|"52"||||4052|||||
"Большой Кисловский переулок"|"1"||"2"||4053|||||
"Адрес не известен"|||||4054|||||
"Арбитраж без адреса"|||||4055|||||
"Большая Дмитровка улица"|"13"||||4056|||||
"Сергия Радонежского улица"|"13/1"||"1"||4057|||||
"3-й Люсиновский переулок"|"3/11"||"3"||4058|||||
"Рождественка улица"|"11/"|"4"|"4"||4059|||||
"Серафимовича улица (пос.Переделкино, МО)"|"3"||||4060|||||
"Страстной бульвар"|"15/"|"29"|"1"||4061|||||
"Ленинский проспект"|"121"||||4062|||||
"Страстной бульвар"|"15"|"/29"|"3,4,8"||4063|||||
"Басманный без адреса"|||||4064|||||
"Солянка улица"|"1/"|"2"|"5"||4065|||||
"Покровка улица"|"27"||"1"|"кв.30"|4066|||||
"Тверская улица"|"17"||"1"||4067|||||
"Спартаковская улица"|"3"||"1,2,3"||4068|||||
"Арбитражный суд адреса нет"|||||4069|||||
"Арбитражный суд нет адреса"|||||4070|||||
"Певческий переулок"|"4"||"4"||4071|||||
"Арбитраж нет адреса"|||||4072|||||
"Коптевский районный суд"|||||4073|||||
"Петровка улица"|"17"||"2"|"кв.41"|4074|||||
"Серафимовича улица"|"2"||||4075|||||
"Никольская улица"|"11-13"||"3"||4076|||||
"Большая Сухаревская площадь"|"9"||||4077|||||
"Преображенский Вал улица"|"17"|"вл.92"|||4078|||||
"Бабушкинский Р-ный суд"|||||4079|||||
"Арбитраж адреса нет"|||||4080|||||
"Андроньевская площадь"|"6"||"3-4"||4081|||||
"Андропова проспект"|"39"||||4082|||||
"Никольская улица"|"11-13"||"5"||4083|||||
"Малая Дмитровка улица"|"12"||"3"||4084|||||
"Арбитраж"|||||4085|||||
"Таганская площадь"|"88"||"2"||4086|||||
"Мещанский р-ный суд"|||||4087|||||
"Московский городской суд"|||||4088|||||
"Арбитраж без адреса"|||||4089|||||
"Головинский р-ный суд"|||||4090|||||
"Кузьминский р-ный суд"|||||4091|||||
"Садовая-Спасская улица"|"21/1"||||4092|||||
"Сухаревская площадь"|"9"||||4093|||||
"Раушская набережная"|"28"||||4094|||||
"Комсомольская площадь"|"2"||"А"||4095|||||
"Тенистый проезд"|"вл.8"||||4096|||||
"Рабочая улица"|"38"||||4097|||||
"Никольская улица"|"19-21/1"||||4098|||||
"Большая Андроньевская улица"|"22"||||4099|||||
"Петроверигский переулок"|"10"||"3"||4100|||||
"Большой Каретный переулок"|"11/16"||"1"||4101|||||
"Петроверигский переулок"|"6/8/10"||"2"||4102|||||
"Кузнецкий Мост улица"|"7"||||4103|||||
"Ленинский проспект"|"18"||"кв.40"||4104|||||
"Большой Трёхсвятительский переулок"|"вл.1"||||4105|||||
"Новослободская улица"|"2"||"1"||4106|||||
"Солянка улица"|"1/2"||"1"||4107|||||
"Замоскворецкий р-ный суд"|||||4108|||||
"Арбитраж нет адреса"|||||4109|||||
"Арбитраж без адреса"|||||4110|||||
"Спартаковская улица"|||||4111|||||
"Кривоколенный переулок"|"10"||"6"||4112|||||
"Климентовский переулок"|"6"||"кв 70"||4113|||||
"Большой Трёхгорный переулок"|"1/26"||"2"||4114|||||
"Басманный р-ный суд"|||||4115|||||
"Арбитражный"|||||4116|||||
"Кудринская площадь"|"1"||||4117|||||
"Остоженка улица"|"53/2"||"1"||4118|||||
"Столешников переулок"|"6"||"3"||4119|||||
"Арбитражный суд"|||||4120|||||
"Замоскворецкий р-ный суд"|||||4121|||||
"Арбитраж без адреса"|||||4122|||||
"Ленинский проспект"|"12"||"кв.37"||4123|||||
"Никольская улица"|"10/2"||||4124|||||
"Ильинка улица"|"4"||||4125|||||
"Арбитраж"|||||4126|||||
"Ильинка улица"|"4"||||4127|||||
"Атрбитражный суд адреса нет"|||||4128|||||
"Ильинка улица"|"4"||||4129|||||
"Ильинка улица"|"4"||||4130|||||
"Таганский р-ный суд"|||||4131|||||
"Неглинная улица"|"6/2"|"1,2"|||4132|||||
"Ильинка улица"|"4"||||4133|||||
"Ильинка улица"|"4"||||4134|||||
"Протопоповский переулок"|"19"|"10"|||4135|||||
"Арбитражный суд"|||||4136|||||
"Замоскворецкий суд"|||||4137|||||
"Ильинка улица"|"4"||||4138|||||
"Ильинка улица"|"4"||||4139|||||
"Гранатный переулок"|"7"||"2,1"||4140|||||
"Арбитраж суд"|||||4141|||||
"Сивцев Вражек переулок"|"вл. 5-7/14"||||4142|||||
"Спиридоновка улица"|"3-5"||||4143|||||
"Хлебный переулок"|"2/3"||||4144|||||
"Гранатный переулок"|"7"||"1"||4145|||||
"Косыгина улица"|"6"||||4146|||||
"Арбитраж"|||||4147|||||
"поселок Филимоновское"|||||4148|||||
"Покровка улица"|"17"||"1"||4149|||||
"Трубниковский переулок"|"19"||||4150|||||
"Арбитражный суд"|||||4151|||||
"Знаменка улица"|"10"||"1"||4152|||||
"Замоскворецкий р-ный"|||||4153|||||
"Никольская улица"|"15"||"1"||4154|||||
"Арбитраж нет адреса"|||||4155|||||
"Арбитраж"|||||4156|||||
"Арбитражный суд"|||||4157|||||
"Волхонка улица"|"14"||"3-5"||4158|||||
"Смоленская площадь"|"6/13/14"||||4159|||||
"Знаменка улица"|"10"||"1"||4160|||||
"Басманный р-ный суд"|||||4161|||||
"Новинский бульвар"|"18"||"1"||4162|||||
"Новинский бульвар"|"18"||"4"||4163|||||
"Стромынка улица"|"6"||||4164|||||
"1-й Рижский переулок"|"2"||"1,2,5,6,9,10"||4165|||||
"Оружейный переулок"|"3"||"1"||4166|||||
"Дубининская улица"|"51"||"4"||4167|||||
"Пятницкая улица"|"15"||||4168|||||
"Тверская-Ямская улица"|"36"||"1"||4169|||||
"Тверской бульвар"|"17"||"2"||4170|||||
"Николоямская улица"|"58"||||4171|||||
"Замоскворецкий р-ный"|||||4172|||||
"Малая Дмитровка улица"|"12"||"3,4"||4173|||||
"Романов переулок"|"3"||"7"||4174|||||
"Серафимовича улица"|"2"||||4175|||||
"Симоновский р-ный суд"|||||4176|||||
"Берсеневская набережная"|"6"||"2,3"||4177|||||
"Подкопаевский переулок"|"4"||"7"||4178|||||
"Мосгорсуд"|||||4179|||||
"Арбитражный суд"|||||4180|||||
"Малый Лёвшинский переулок"|"14/8"||"1"||4181|||||
"Арбитражный суд"|||||4182|||||
"Басманный р-ный суд"|||||4183|||||
"Алтуфьевское шоссе"|"147"||||4184|||||
"Пятницкая улица"|"19"||||4185|||||
"Петровский бульвар"|"1"||"1"||4186|||||
"Басманый р-ный"|||||4187|||||
"Большой Спасоглинищевский переулок"|"3"||"5"||4188|||||
"Большая Ордынка улица"|"14"||"20"||4189|||||
"Тверской р-ный"|||||4190|||||
"Симоновский р-ный"|||||4191|||||
"Никулинский р-ный"|||||4192|||||
"Арбитражный суд без адреса"|||||4193|||||
"Покровка улица"|"17"||"1"||4194|||||
"Маросейка улица"|"11/4"||"1"||4195|||||
"Михалковская улица"|"38А"||||4196|||||
"Достоевского улица"|"2,4"||||4197|||||
"Большая Коммунистическая улица"|"3"||||4198|||||
"Арбитражный суд"|||||4199|||||
"Люблинский р-ный"|||||4200|||||
"Тушинский р-ный суд"|||||4201|||||
"Покровка улица"|"38А"||||4202|||||
"Армянский переулок"|"3-5"||"1А"||4203|||||
"Дубравная"|"51"||||4204|||||
"Кожевническая улица"|"11-13"||||4205|||||
"Таганский р-ный"|||||4206|||||
"Покровка улица"|"38"||"5"||4207|||||
"1-й Щипковский переулок"|"26"||"1"||4208|||||
"Смоленская-Сенная площадь"|"30"||||4209|||||
"Преображенский Вал улица"|"25,17А"|"2"|||4210|||||
"Мировой судья № 110"|||||4211|||||
"Арбитражный"|||||4212|||||
"Большой Харитоньевский переулок"|"25"||||4213|||||
"Арбитраж"|||||4214|||||
"Шумкина улица"|"16"||"1"||4215|||||
"Арбитраж"|||||4216|||||
"Арбитражный"|||||4217|||||
"Мещанский р-ный"|||||4218|||||
"Хамовнический р-ный"|||||4219|||||
"Бутырский суд"|||||4220|||||
"Садовая-Сухаревская улица"|"14"||||4221|||||
"Маросейка улица"|"2/15"||"1"||4222|||||
"Старая Басманная улица"|"15А"||"4"||4223|||||
"Дубининская улица"|"51"||"4"||4224|||||
"Пречистенка улица"|"21/12"||"5"||4225|||||
"Десятый апеляционный суд"|||||4226|||||
"Арбитражный суд"|||||4227|||||
"Петровский бульвар"|"19/2"||"1"||4228|||||
"Сергия Радонежского"|"21"||||4229|||||
"Михалковская улица"|"42"||||4230|||||
"Арбитражный суд"|||||4231|||||
"Арбитражный суд"|||||4232|||||
"Крапивинский переулок"|"4"||"1"||4233|||||
"Пятницкая улица"|"19"||||4234|||||
"Арбитражный суд"|||||4235|||||
"Кожевническая улица"|"16"||||4236|||||
"Маросейка улица"|"2/15"||"1"||4237|||||
"Сивцев Вражек переулок"|"15/25"||||4238|||||
"Крымский Вал улица"|"9"||"21"||4239|||||
"Спартаковская улица"|"15"||||4240|||||
"Прянишникова улица"|"21"||||4241|||||
"2-й Волконский переулок"|"8А"||||4242|||||
"Волоколамское шоссе"|"88"||||4243|||||
"Арбитражный суд"|||||4244|||||
"Арбитражный суд города Москвы"|||||4245|||||
"Мосгорсуд"|||||4246|||||
"Прянишникова улица"|"21"||||4247|||||
"Пятницкая улица"|"19"||||4248|||||
"Сретенский бульвар"|"6/1"||"1"||4249|||||
"Покровка улица"|"17"||"1"||4250|||||
"Малый Васильевский переулок"|"12"||"1"||4251|||||
"Пименовский тупик"|"11"||"1"||4252|||||
"Мосгорсуд"|||||4253|||||
"Арбат улица"|"45/24"||||4254|||||
"Гончарная улица"|"16"||"1"||4255|||||
"Нижняя Радищевская улица"|"5"||"1"||4256|||||
"Театральный проезд"|"3"||"3"||4257|||||
"Покровский бульвар"|"18/15"||"6"||4258|||||
"Арбитраж"|||||4259|||||
"Тверской бульвар"|"17"||"4"||4260|||||
"Пятницкая улица"|"21"||"1"||4261|||||
"Дубравная улица"|"51"||||4262|||||
"Арбитражный суд города Москвы"|||||4263|||||
"Арбитражный суд города Москвы"|||||4264|||||
"Большая Дмитровка улица"|"23"||"1"||4265|||||
"Софийская набережная"|"6"||"1"||4266|||||
"Арбитражный суд города Москвы"|||||4267|||||
"Николоямская улица"|"49"||"2"||4268|||||
"Маросейка улица"|"11/4"||"1"||4269|||||
"Моховая улица"|"11"||"1"||4270|||||
"Солянка улица"|"15"||||4271|||||
"Мясницкая улица"|"24/7"||"1"||4272|||||
|||||4273|||||
"Арбитражный"|||||4274|||||
"Арбитражный суд"|||||4275|||||
"Хохловский переулок"|"10"||"1"||4276|||||
"Мещанский районный суд"|||||4277|||||
"Новая Басманная улица"|"2/1"||"1"||4278|||||
"Красноказарменная"|"1"||||4279|||||
"Спиридоньевский переулок"|"8"||"8"||4280|||||
"Лесная улица"|"1/2"||||4281|||||
"Новокузнецкая улица"|"29"||"1"||4282|||||
"Скатертный переулок"|"4/2"||"2"||4283|||||
"Кривоарбатский переулок"|"10"||||4284|||||
"Арбитражный суд города Москвы"|||||4285|||||
"Хамовнический районный суд"|||||4286|||||
"Замоскворецкий р-ный суд"|||||4287|||||
"Остоженка улица"|"19"||"1"||4288|||||
"Мытищинский городской суд"|||||4289|||||
"Бауманская улица"|"58"|"/3"|"5"||4290|||||
"Арбитражный суд"|||||4291|||||
"Арбатецкая улица"|"2"||"23"||4292|||||
"Средний Овчинниковский переулок"|"1"|"13"|||4293|||||
"Троицкий районный суд"|||||4294|||||
"Контракт"|||||4295|||||
"Замоскворецкий районный суд"|||||4296|||||
"Мособлсуд"|||||4297|||||
"Арбитражный суд"|||||4298|||||
"Арбитражный суд"|||||4299|||||
"Петровка"|"28"||"2"||4300|||||
"Мосгорсуд"|||||4301|||||
"Пятницкая улица"|"16"||"1"||4302|||||
"Арбитраж"|||||4303|||||
"Арбитраж"|||||4304|||||
"Пятницкая улица"|"19"||||4305|||||
"Миусская площадь"|"6"||"7"||4306|||||
|||||4307|||||
"Большой Знаменский переулок"|"7"||||4308|||||
"Ленинский проспект"|"28"|"корп.2"|||4309|||||
"Маросейка улица"|"6-8"||"1"||4310|||||
"Маросейка улица"|"9"||"1"||4311|||||
"Большая Полянка улица"|"29/32"||"6"||4312|||||
"Кожевническая улица"|"22"||||4313|||||
"1-й Коптельский переулок"|"2/7"||"1"||4314|||||
"Арбитраж"|||||4315|||||
"Выборгский районный суд"|||||4316|||||
"Маршала Новикова улица"|"1"||||4317|||||
|||||4318|||||
"Кремлевская набережная"|"1/9"||"10"||4319|||||
"Александра Солженицына ул."|"1/5"||||4320|||||
"Большая Никитская улица"|"21/18"||"4"||4321|||||
"Мира проспект"|"40"||||4322|||||
"Арбитраж"|||||4323|||||
"Трубниковский переулок"|"19"||||4324|||||
"Брюсов переулок"|"6"||"7"||4325|||||
"Арбитраж"|||||4326|||||
"1-й Рижский переулок"|"2"||"1,2,5,6,9,10"||4327|||||
"Шлюзовая набережная"|"2/1"||||4328|||||
"Арбитраж"|||||4329|||||
"Арбитраж"|||||4330|||||
"Милютинский переулок"|"8"||"1"||4331|||||
"Люблинский районный суд"|||||4332|||||
"Лесная"|"1/2"||||4333|||||
"Рождественка улица"|"6/9/20"|"1"|||4334|||||
"Большая Дмитровка улица"|"23/8"||"1-2"||4335|||||
"Арбитраж"|||||4336|||||
"Шелапутинский переулок"|"3"||"1,2,3,4,5"||4337|||||
"Арбитраж"|||||4338|||||
"Колодезный переулок"|"2А"||"1"||4339|||||
"Фрунзенская набережная"|"12"||||4340|||||
"Арбат улица"|"22/2"||"1,4"||4341|||||
"Гжельский переулок"|"12/3"||"1"||4342|||||
"Рочдельская улица"|"15"||"8,10"||4343|||||
"Малый Власьевский переулок"|"12"||"1"||4344|||||
"Арбитраж"|||||4345|||||
"Арбитраж"|||||4346|||||
"Замоскворецкий районный суд"|||||4347|||||
"Арбитраж"|||||4348|||||
"Софийская набережная"|"8,10"||||4349|||||
"Болотная пл."|"14"||"14"||4350|||||
"Образцова ул."|"11"||"1А"||4351|||||
"Хитровский пер."|"4"|"10"|||4352|||||
"Поварская ул."|"50/53"|"1"|||4353|||||
"Хитровский переулок"|"4"|"корп. 10"|||4354|||||
"1-я Тверская-Ямская улица"|"22"||||4355|||||
"Малая Грузинская улица"|"15"|"3"|||4356|||||
"Станиславского улица"|"21"||"21"||4357|||||
"Летняя улица"|"8/2"||||4358|||||
"Пятницкая улица"|"55/25"|"1"|||4359|||||
"Никитский бульвар"|"11/12"|"3"|||4360|||||
"Голиковский пер."|"14/11"|"1"|||4361|||||
"Мосгорсуд"|||||4362|||||
"Замоскворецкий р/с"|||||4363|||||
"Арбатская пл."|"14"||||4364|||||
"Люблинская улица"|"59"|"1"|||4365|||||
"Большая Никитская улица"|"31"||||4366|||||
"Петровка улица"|"19"|"1"|||4367|||||
"Старопименовский переулок"|"11"|"6"|||4368|||||
"Большая Дмитровка улица"|"32"|"4-9"|||4369|||||
"Арбитраж"|||||4370|||||
"Маяковского переулок"|"15/13"||||4371|||||
"Арбитраж"|||||4372|||||
"Канавинский районный суд"|||||4373|||||
"2-й Монетчиковский переулок"|"2/12"||||4374|||||
"Пречистенские Ворота площадь"|"1"||"1,2,6"||4375|||||
"Малая Дмитровка улица"|"12"||"3"||4376|||||
"Головинский районный суд"|||||4377|||||
"Бауманская улица"|"53"||"8"||4378|||||
"Косыгина улица"|"17"||||4379|||||
"Пятницкая улица"|"82/34"||||4380|||||
"Проспект мира"|"40"||||4381|||||
"Замоскворецкий районный суд"|||||4382|||||
"2-ой Кадашевский пер."|"3"|"1"|||4383|||||
"Остоженка улица"|"19"|"2"|||4384|||||
"Новопесчаная улица"|"12"||||4385|||||
"Малый Власьевский пер."|"12"|"1"|||4386|||||
"Большая Дмитровка улица"|"32"||"4-9"||4387|||||
"Большой Каретный переулок"|"4"||"4"||4388|||||
"Остоженка улица"|"19"||"2"||4389|||||
"Конюшковская улица"|"31"||"3"||4390|||||
"Замоскворецкий районный суд"|||||4391|||||
"Моховая улица"|"11"||"1"||4392|||||
"Тушинский районный суд"|||||4393|||||
"Арбат улица"|"22/2"|"1"|||4394|||||
"Плющиха улица"|"64/6"|"1,2"|||4395|||||
"Вятская улица"|"41А"||||4396|||||
"Потаповский переулок"|"6"||"1"||4397|||||
"Б. Семеновская улица"|"15-17/12"||"2"||4398|||||
"Покровка улица"|"27"|"1"|||4399|||||
"Арбитраж"|||||4400|||||
"Арбитраж"|||||4401|||||
"Максимова улица, М. Новикова улица"|"8,/1,3"||||4402|||||
"Тверской районный суд"|||||4403|||||
"Арбитраж"|||||4404|||||
"Твардовского улица"|"2"||||4405|||||
"Остоженка улица"|"7"|"1"|||4406|||||
"1-й Рижский переулок"|"2"||"1,2,5,6,9,10"||4407|||||
"Арбитраж"|||||4408|||||
"Усадьба ""Знаменские Садки"""|||||4409|||||
"Комсомольский проспект"|"17А"||||4410|||||
"2-й Вышеславцев переулок"|"3"||||4411|||||
"Болотная площадь"|"14"|"1,14"|||4412|||||
"Кузьминский районный суд"|||||4413|||||
"Арбитраж"|||||4414|||||
"Хлебников переулок"|"3"||||4415|||||
"Новинский бульвар"|"18"||"4"||4416|||||
"Милютинский переулок"|"14"|"6"|||4417|||||
"Большой Знаменский переулок"|"7"||||4418|||||
"Большая Никитская улица"|"21/18"||"1"||4419|||||
"Д.Архангельское"|||||4420|||||
"поселок новофедоровское, д. Архангельское"|||||4421|||||
"Вышеславцев переулок"|"3"||||4422|||||
"Тверской районный суд"|||||4423|||||
"Таганский районный суд"|||||4424|||||
"Замоскворецкий районный суд"|||||4425|||||
"Замоскворецкий районный суд"|||||4426|||||
"Большая Семеновская"|"15-17/12"|"cтр.2"|||4427|||||
"1-й Рижский переулок"|"2"||"1,2,5,6,9,10"||4428|||||
|||||4429|||||
"Милютинский переулок"|"14"||"6"||4430|||||
"Арбитраж"|||||4431|||||
"Арбитражный суд г.Москвы"|||||4432|||||
"Милютинский переулок"|"14"||"1"||4433|||||
"Замоскворецкий районный суд"|||||4434|||||
"Преображенский Вал улица"|"17"||||4435|||||
"Арбитражный суд г.Москвы"|||||4436|||||
"Климентовский переулок"|"6"||||4437|||||
"Арбитражный суд"|||||4438|||||
"Певченский переулок"|"6"||||4439|||||
"Голиковский переулок"|"11"||||4440|||||
"Сретенский бульвар"|"6/1"||"1"||4441|||||
"Арбитражный суд"|||||4442|||||
"Шоссе Энтузиастов"|"58"||||4443|||||
"Арбитражный суд"|||||4444|||||
"Мира проспект"|"9"||"1"||4445|||||
"Вятская улица"|"41А"||||4446|||||
"Арбитражный суд"|||||4447|||||
"Мясницкая улица"|"24/7"||"1"||4448|||||
"Озеркрвская набережная"|"52"||"2"||4449|||||
"Никольская улица"|"19-21/1"||||4450|||||
"Шухова улица"|"10"||"2"||4451|||||
"Арбтражный суд"|||||4452|||||
"Садовая-Кудринская улица"|"7"||"8,13"||4453|||||
"Большая Ордынка улица"|"8"||"1,2,3,4"||4454|||||
